P?stn?mer;Sta?ur;Tegund;Sv??i;Heimilisfang;Eldra p?stn?mer
232;Reykjanesb?;P?sth?lf;Su?urland og Reykjanes; ;

233;Reykjanesb?;St?rra dreifb?li;Su?urland og Reykjanes; ;

235;Keflav?kurflugvelli;St?rra dreifb?li;Su?urland og Reykjanes; ;

240;Grindav?k;St?rra dreifb?li;Su?urland og Reykjanes; ;

241;Grindav?k;Dreifb?li;Su?urland og Reykjanes; ;240

245;Su?urnesjab?;St?rra dreifb?li;Su?urland og Reykjanes; ;

246;Su?urnesjab?;Dreifb?li;Su?urland og Reykjanes; ;245

250;Su?urnesjab?;St?rra dreifb?li;Su?urland og Reykjanes; ;

251;Su?urnesjab?;Dreifb?li;Su?urland og Reykjanes; ;250

260;Reykjanesb?;St?rra dreifb?li;Su?urland og Reykjanes; ;

262;Reykjanesb?;St?rra dreifb?li;Su?urland og Reykjanes; ;235

270;Mosfellsb?;St?rra dreifb?li;H?fu?borgarsv??i?; ;

271;Mosfellsb?;St?rra dreifb?li;H?fu?borgarsv??i?; ;

276;Mosfellsb?;St?rra dreifb?li;H?fu?borgarsv??i?; ;

300;Akranesi;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

301;Akranesi;Dreifb?li;Vesturland og Vestfir?ir; ;

302;Akranesi;P?sth?lf;Vesturland og Vestfir?ir; ;

310;Borgarnesi;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

311;Borgarnesi;Dreifb?li;Vesturland og Vestfir?ir; ;

320;Reykholti;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

340;Stykkish?lmi;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

341;Stykkish?lmi;Dreifb?li;Vesturland og Vestfir?ir; ;340

342;Stykkish?lmi;Dreifb?li;Vesturland og Vestfir?ir; ;311

345;Flatey;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

350;Grundarfir?i;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

351;Grundarfir?i;Dreifb?li;Vesturland og Vestfir?ir; ;350

355;?lafsv?k;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

356;Sn?fellsb?;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

360;Hellissandi;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

370;B??ardal;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

371;B??ardal;Dreifb?li;Vesturland og Vestfir?ir; ;

380;Reykh?lahreppi;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

381;Reykh?lahreppi;Dreifb?li;Vesturland og Vestfir?ir; ;380

400;?safir?i;St?rra dreifb?li;Vesturland og Vestfir?ir; ;

401;?safir?i;Dreifb?li;Vesturland og Vestfir?ir; ;

